ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,outcome
9080,"CRUSAL – Hochwertige Fußbälle","Product Design",DE,"2015-08-25 00:00:00","2015-09-24 00:00:00",3902.85,1326.97,EUR,failed
9081,"The kid who lives to see his dreams","Film & Video",US,"2016-08-13 00:00:00","2016-09-19 00:00:00",8500,1,USD,failed
9082,"Memoirs of Fatherhood: A Book by Ricardo Daximillion",Nonfiction,US,"2017-04-03 00:00:00","2017-05-03 00:00:00",5000,5203,USD,successful
9083,"A Good Dog Day TV Shows: 10 Episodes / Season 30 min format",Television,US,"2015-03-17 00:00:00","2015-04-07 00:00:00",61060,130,USD,failed
9084,"Psycholware: Jewelry made from bicycle chains",Fashion,US,"2013-07-29 00:00:00","2013-08-19 00:00:00",400,242,USD,failed
9085,"The Dirty Attorney - The Film",Shorts,US,"2013-09-26 00:00:00","2013-10-26 00:00:00",100000,0,USD,failed
9086,"The Everyday Man's Apologetics",Nonfiction,US,"2013-03-21 00:00:00","2013-04-21 00:00:00",27500,662,USD,failed
9087,"Warn U (Canceled)",Technology,NO,"2016-05-03 00:00:00","2016-05-29 00:00:00",18018.88,840.04,NOK,canceled
9088,"UnEqually Yoked",Fiction,US,"2015-05-29 00:00:00","2015-06-28 00:00:00",10000,26,USD,failed
9089,"Mondo SEXXXX: the terry kobrah story - feature length film",Shorts,US,"2011-01-04 00:00:00","2011-02-03 00:00:00",4000,20,USD,failed
9090,"Fallen Angels: The Antediluvian Days",Fiction,US,"2015-08-07 00:00:00","2015-09-06 00:00:00",3000,160,USD,failed
9091,"My real destination",Places,US,"2015-09-16 00:00:00","2015-10-16 00:00:00",50000,10,USD,failed
9092,"Now What? (Canceled)",Nonfiction,US,"2012-11-14 00:00:00","2012-12-14 00:00:00",15000,600,USD,canceled
9093,"Canceled (Canceled)","Video Games",US,"2015-03-19 00:00:00","2015-04-08 00:00:00",250,0,USD,canceled
9094,"FRESH ROMANCE brings you VOLUME 2 & VERONA","Graphic Novels",US,"2017-03-08 00:00:00","2017-04-07 00:00:00",20000,34164,USD,successful
9095,"Chevy & Rocky","Film & Video",US,"2013-12-24 00:00:00","2014-02-22 00:00:00",4100,563.44,USD,failed
9096,"A. Burger and Seafood Restaurant",Restaurants,GB,"2014-12-14 00:00:00","2015-01-13 00:00:00",37933.96,0,GBP,failed
9097,"YA novel: Singing Above the White Noise","Young Adult",US,"2014-10-27 00:00:00","2014-12-26 00:00:00",14000,0,USD,failed
9098,"Ink on Mylar",Painting,US,"2013-01-29 00:00:00","2013-03-10 00:00:00",700,412,USD,failed
9099,"Early Days (of a better nation)",Theater,GB,"2014-03-28 00:00:00","2014-04-25 00:00:00",5042.61,5434.12,GBP,successful
9100,"Hungry Like The Wolf",Hip-Hop,US,"2015-04-22 00:00:00","2015-05-20 00:00:00",5000,1,USD,failed
9101,Promise,Shorts,US,"2012-03-08 00:00:00","2012-03-22 00:00:00",500,546,USD,successful
9102,"SwitchWood: The first interchangeable wooden bow tie",Accessories,US,"2014-02-22 00:00:00","2014-03-24 00:00:00",10000,10276,USD,successful
9103,"Nick Kody EP - Post Production Costs",Music,"N,0"","2014-11-26 00:00:00","2014-12-31 00:00:00",1100,1299,USD,undefined
9104,"A Lovely Tale",Photography,US,"2011-11-05 00:00:00","2011-12-05 00:00:00",1200,1229,USD,successful
9105,"Tunnel Vision: Chase Your Dreams",Fashion,US,"2013-10-25 00:00:00","2013-11-24 00:00:00",20000,436,USD,failed
9106,Deca,Journalism,US,"2014-06-12 00:00:00","2014-07-12 00:00:00",15000,32627.44,USD,successful
9107,"Almond Blossom Bakeshop - delicious goodness!",Food,US,"2012-10-25 00:00:00","2012-11-17 00:00:00",2500,2900,USD,successful
9108,"Still Waters Street Theatre Project",Theater,US,"2011-07-07 00:00:00","2011-08-06 00:00:00",800,803,USD,successful
9109,"Pinion gearbox, belt-drive 29er & 27.5+ MTB all weather bike","Product Design",GB,"2016-12-09 00:00:00","2017-01-02 00:00:00",9272.54,9974.78,GBP,successful
9110,"Twelfth Night by William Shakespeare",Plays,US,"2015-05-01 00:00:00","2015-05-31 00:00:00",3000,3080,USD,successful
9111,"Kip Fox. "This Dust" EP.","Indie Rock",US,"2010-11-10 00:00:00","2010-12-12 00:00:00",5500,6660,USD,successful
9112,"Laser Engraving Family Business","Product Design",US,"2015-02-17 00:00:00","2015-03-10 00:00:00",5500,202,USD,failed
9113,"I-Kong: Powerful 3 in 1 multifunctional iPhone case",Design,US,"2015-06-17 00:00:00","2015-07-16 00:00:00",3000,0,USD,canceled
9114,"FlyCamp Zeltanhänger (Canceled)",Technology,DE,"2015-12-22 00:00:00","2016-01-21 00:00:00",14050.41,0,EUR,canceled
9115,"Debut Album",Pop,US,"2014-11-18 00:00:00","2014-12-18 00:00:00",1000,5,USD,failed
9116,"The Good Man",Comedy,GB,"2015-10-19 00:00:00","2015-11-14 00:00:00",137.22,152.47,GBP,successful
9117,"DC SWAN Day",Theater,US,"2011-01-14 00:00:00","2011-03-14 00:00:00",1000,1142,USD,successful
9118,"The Voice and No More Lies Video",Pop,US,"2011-07-29 00:00:00","2011-08-15 00:00:00",3000,3225.19,USD,successful
9119,"Young Pilgrims - A documentary film",Documentary,US,"2014-01-16 00:00:00","2014-02-10 00:00:00",9000,11185,USD,successful
9120,"WHIZZKIT Electronic Builder's Kit","DIY Electronics",GB,"2014-08-12 00:00:00","2014-09-21 00:00:00",1590.07,1696.08,GBP,successful
9121,"Heads And Shoulders- A Caricature Book","Art Books",GB,"2013-08-10 00:00:00","2013-09-14 00:00:00",16019.48,7939.25,GBP,failed
9122,"Hand Sand Hands to record and perform in Paris","Electronic Music",US,"2012-08-21 00:00:00","2012-09-11 00:00:00",950,390,USD,failed
9123,"LUNA - Luxury Sleep Mask with NAP & Lucid Dream Features",Wearables,FR,"2015-05-29 00:00:00","2015-07-03 00:00:00",27739.87,14504.62,EUR,canceled
9124,"TriGen 3D Board Game","Tabletop Games",US,"2015-05-14 00:00:00","2015-06-13 00:00:00",18500,139,USD,failed
9125,"C-Box System ( Use any SSD on Ursa or Ursa Mini with CBox )","Camera Equipment",US,"2015-05-11 00:00:00","2015-06-10 00:00:00",15000,16912,USD,successful
9126,"Help Me Live on Food Stamps for One Year",Food,US,"2015-02-06 00:00:00","2015-03-08 00:00:00",36000,36,USD,failed
9127,"Charlie's Scars Documentary",Documentary,US,"2011-07-15 00:00:00","2011-08-04 00:00:00",12000,12520,USD,successful
9128,"PicoBrew Zymatic:  Automatic Beer Brewing Appliance",Food,US,"2013-09-30 00:00:00","2013-10-30 00:00:00",150000,661026.77,USD,successful
9129,"Spin Your World: Bring Flag Dancing to High School students","Performance Art",US,"2012-03-15 00:00:00","2012-04-05 00:00:00",1500,1809,USD,successful
9130,"Shaita Nalani - Yuanfen",Apparel,US,"2016-05-27 00:00:00","2016-06-26 00:00:00",4000,50,USD,failed
9131,"Scandalous Lip Balms",DIY,CA,"2015-03-18 00:00:00","2015-05-17 00:00:00",4098.36,90.16,CAD,failed
9132,"Eazi Gaming (Canceled)","Gaming Hardware",US,"2014-07-08 00:00:00","2014-08-07 00:00:00",500,0,USD,canceled
9133,PawSpa,Gadgets,US,"2014-09-16 00:00:00","2014-11-15 00:00:00",200000,531,USD,failed
9134,"Matt Bauer records The Jessamine County Book of the Living",Music,US,"2010-01-10 00:00:00","2010-04-06 00:00:00",5000,5171.23,USD,successful
9135,"Print on Fabric Using Sunlight: The Lumi Process",Technology,US,"2012-06-30 00:00:00","2012-07-30 00:00:00",50000,268437.02,USD,successful
9136,"Gigantic Photographs New Art Project by Joe",Photography,US,"2011-11-10 00:00:00","2012-01-09 00:00:00",25000,51,USD,failed
9137,"BobCon 2014","Tabletop Games",US,"2014-07-01 00:00:00","2014-07-31 00:00:00",800,1622,USD,successful
9138,"Ukrainian patriotic clothing",Apparel,US,"2015-06-30 00:00:00","2015-07-30 00:00:00",6000,523,USD,failed
9139,"FATBAT: Universal battery, flashlight and battery for GoPro",Design,US,"2015-03-17 00:00:00","2015-05-01 00:00:00",1000,3241,USD,successful
9140,"Sci-Fi San Francisco: Comics from the Bay Area's Future",Anthologies,US,"2017-11-07 00:00:00","2017-12-07 00:00:00",2000,3433,USD,successful
9141,"M.S.B Cosmetics",Art,US,"2014-06-18 00:00:00","2014-07-18 00:00:00",10000,11,USD,failed
9142,"Twisted Craft: Black and White Enamel Pin Series",Accessories,US,"2017-09-12 00:00:00","2017-10-14 00:00:00",360,395,USD,successful
9143,"The Id, ID Project",Photobooks,US,"2015-11-18 00:00:00","2015-12-21 00:00:00",7800,3539,USD,failed
9144,"The Saarburg Festival","Classical Music",US,"2017-06-10 00:00:00","2017-07-10 00:00:00",1000,1000,USD,successful
9145,"Chelsea Saddler's new album "The Offering"",Music,"N,0"","2016-03-01 00:00:00","2016-03-31 00:00:00",4000,5000,USD,undefined
9146,"Janadhaar: a film by Jade Ajani and David Meek",Documentary,US,"2012-02-23 00:00:00","2012-03-25 00:00:00",2000,2617.26,USD,successful
9147,"I Believe",Publishing,US,"2014-06-14 00:00:00","2014-07-14 00:00:00",5000,57,USD,failed
9148,""Sweet Boy" Yaoi / Gay Manga Graphic Novel !","Graphic Novels",US,"2017-07-21 00:00:00","2017-07-28 00:00:00",5000,5595,USD,successful
9149,"Videos and Venues Blog Startup",Music,CA,"2015-03-13 00:00:00","2015-05-12 00:00:00",830.77,0.83,CAD,failed
9150,"SkyWar Dragon","Tabletop Games",US,"2013-04-06 00:00:00","2013-05-06 00:00:00",41000,4541,USD,failed
9151,"The RTP",Comics,GB,"2013-07-13 00:00:00","2013-08-12 00:00:00",25014.85,1369.56,GBP,failed
9152,"SOCCKET: The Energy-Harnessing Soccer Ball",Hardware,US,"2013-02-26 00:00:00","2013-03-28 00:00:00",75000,92296,USD,successful
9153,Anoraks,Comedy,GB,"2016-09-23 00:00:00","2016-10-23 00:00:00",6074.15,3923.9,GBP,failed
9154,"The Mirror Altar - Poems and Novels.",Art,GB,"2014-06-03 00:00:00","2014-07-03 00:00:00",1714.35,0,GBP,failed
9155,"HELLLOOO, I'm right here! Twifing less. Adoring more.",Apps,US,"2016-08-08 00:00:00","2016-09-23 00:00:00",5000,1017,USD,failed
9156,"Metal art",Art,US,"2014-09-13 00:00:00","2014-10-13 00:00:00",15000,0,USD,failed
9157,"Isabella, Cat in the City: A Children's Picture Book Project","Children's Books",US,"2014-05-06 00:00:00","2014-06-05 00:00:00",4500,4706,USD,successful
9158,"Stream the Vote","Civic Design",US,"2016-06-30 00:00:00","2016-07-30 00:00:00",2000,5,USD,failed
9159,"Radio Player for New Apple TV",Apps,US,"2015-10-26 00:00:00","2015-11-25 00:00:00",1000,20,USD,failed
9160,"Fading in Darkness: Empire of Blood Book Two and more...",Fiction,US,"2012-05-17 00:00:00","2012-05-31 00:00:00",1000,161,USD,failed
9161,"Oakland Autumn: Spooky Bouquets",Art,US,"2017-09-27 00:00:00","2017-10-17 00:00:00",500,245,USD,failed
9162,"AMERICAN MADE CUSTOM MENSWEAR - PETER FIELD",Fashion,US,"2013-02-02 00:00:00","2013-03-04 00:00:00",17500,17610.55,USD,successful
9163,""Space Pussy" Vinyl Toy Production",Comics,US,"2010-03-06 00:00:00","2010-06-04 00:00:00",15000,5867,USD,failed
9164,"BADGE OF HONOR",Documentary,US,"2015-06-13 00:00:00","2015-08-10 00:00:00",10000,10,USD,failed
9165,"HERO: Prepare your champion with transparent cards!","Tabletop Games",DE,"2016-06-30 00:00:00","2016-07-31 00:00:00",22311.97,9419,EUR,failed
9166,"The Drank Tank - Drinking Evolved (Suspended)",Hardware,CA,"2014-12-22 00:00:00","2015-01-21 00:00:00",20609.03,2686.81,CAD,suspended
9167,"Music Engineer (Canceled)","World Music",US,"2014-07-24 00:00:00","2014-08-22 00:00:00",1500,1,USD,canceled
9168,GlutenFreeFromHome,Restaurants,US,"2015-02-09 00:00:00","2015-03-11 00:00:00",50000,1,USD,failed
9169,"Dawn Under Heaven, a Halo fan film","Narrative Film",US,"2011-06-22 00:00:00","2011-08-21 00:00:00",1500,1862,USD,successful
9170,HIT,"Film & Video",US,"2015-03-03 00:00:00","2015-04-02 00:00:00",18000,18866,USD,successful
9171,"Break The Rouxles",Events,US,"2015-09-10 00:00:00","2015-10-01 00:00:00",5000,5110,USD,successful
9172,"Last Night at Angelo's",Shorts,US,"2010-06-21 00:00:00","2010-08-05 00:00:00",2500,2845,USD,successful
9173,"My lil Bac-Pac-R","Product Design",US,"2016-08-01 00:00:00","2016-09-30 00:00:00",100000,0,USD,failed
9174,"Random Direction Dice",Games,US,"2016-10-08 00:00:00","2016-11-07 00:00:00",600,155,USD,failed
9175,"Big things have small beginnings. My printing project.","Digital Art",GB,"2014-05-27 00:00:00","2014-07-01 00:00:00",2828.68,17.14,GBP,failed
9176,"The Court Jester: The Wife in Space Volume 7",Nonfiction,GB,"2017-05-14 00:00:00","2017-05-22 00:00:00",5136.37,11347.53,GBP,successful
9177,"Melody Magic",Animation,GB,"2015-12-18 00:00:00","2016-01-27 00:00:00",25724.21,42.87,GBP,failed
