ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,outcome
1,Ragdolls,Webseries,US,"2013-04-25 00:00:00","2013-05-25 00:00:00",15000,20,USD,failed
2,"One To Ten",Shorts,GB,"2015-11-16 00:00:00","2015-12-16 00:00:00",223.68,413.81,GBP,successful
3,"Future Gun - A short film about kids and advanced hardware",Animation,US,"2013-08-28 00:00:00","2013-09-27 00:00:00",5000,1497,USD,failed
4,"Fourth Wave Apparel—Vintage Fashion for the Modern Feminist",Apparel,US,"2014-07-22 00:00:00","2014-08-21 00:00:00",6000,8795,USD,successful
5,"The Rich Lifestyle",Documentary,US,"2016-08-24 00:00:00","2016-09-28 00:00:00",2000000,2,USD,failed
6,"Perils Galore!",Illustration,US,"2012-09-25 00:00:00","2012-11-01 00:00:00",2500,230,USD,failed
7,"In a Dark Dark House - Directed by Larry Moss",Theater,US,"2014-07-01 00:00:00","2014-08-15 00:00:00",55000,9316,USD,failed
8,CHARLIEFOXTROTNY,Webseries,US,"2014-05-21 00:00:00","2014-06-20 00:00:00",6000,161,USD,failed
9,"Fat Englishmen - Beer and Sumo",Comedy,US,"2015-03-03 00:00:00","2015-04-02 00:00:00",50000,0,USD,failed
10,"bear elements old-fashioned shave and beard care for men",Crafts,US,"2016-04-14 00:00:00","2016-05-14 00:00:00",12000,306,USD,failed
11,"DigIndustrial Art","Digital Art",US,"2014-06-19 00:00:00","2014-07-09 00:00:00",30000,111,USD,failed
12,"Expanding Farm to service the local Food Bank",Farms,US,"2016-06-13 00:00:00","2016-07-13 00:00:00",2500,405,USD,failed
13,"Church Hive. Church hiring made easy!",Web,US,"2016-09-01 00:00:00","2016-10-01 00:00:00",16800,101,USD,failed
14,"The Visual Media Directory Project","Public Art",US,"2012-03-07 00:00:00","2012-05-06 00:00:00",10000,2,USD,failed
15,"Too Sweet - The Not So Serious Side to Diabetes",Nonfiction,US,"2014-01-16 00:00:00","2014-02-15 00:00:00",2500,2525,USD,successful
16,"“Baby Hungry” Short Film Finishing Funds",Shorts,US,"2010-10-27 00:00:00","2010-11-26 00:00:00",1500,1525,USD,successful
17,"Turn "solvents-forgive yr. blood" into 12 inches of vinyl!!",Music,US,"2011-04-20 00:00:00","2011-05-20 00:00:00",1000,1494,USD,successful
18,"Fishin' for Chickens",Shorts,US,"2011-11-14 00:00:00","2011-11-30 00:00:00",2695,3667.13,USD,successful
19,"ROAM RECORD FUND",Rock,US,"2010-09-29 00:00:00","2010-10-29 00:00:00",5000,5847,USD,successful
20,"William Charles and Dirt Road Trippers NEW EP",Rock,US,"2012-10-09 00:00:00","2012-12-08 00:00:00",800,425,USD,failed
21,"Vega - Six String Theory - Alternative Rap Album Production",Hip-Hop,US,"2014-04-14 00:00:00","2014-05-14 00:00:00",3500,1,USD,failed
22,"Life Planner","Product Design",GB,"2015-11-09 00:00:00","2015-12-08 00:00:00",10004.09,4453.34,GBP,failed
23,"Number Ten Pond - 2014 Calendar",Photography,US,"2013-07-26 00:00:00","2013-08-20 00:00:00",3800,1488,USD,failed
24,"Chosen Gospel single 'Make me a Believer'","World Music",GB,"2013-08-13 00:00:00","2013-09-03 00:00:00",701.02,20.25,GBP,failed
25,"OILOVE YOU",Food,US,"2014-09-17 00:00:00","2014-11-07 00:00:00",17000,20,USD,failed
26,"Up Against The Downturn",Documentary,US,"2011-06-22 00:00:00","2011-07-22 00:00:00",5600,1026,USD,failed
27,"Mosquito Wars",Documentary,US,"2012-06-13 00:00:00","2012-07-13 00:00:00",15000,1401,USD,failed
28,"Bev's First Studio EP! - The Noble House of Pancake",Pop,US,"2014-11-14 00:00:00","2014-12-14 00:00:00",12000,12545,USD,successful
29,"Clean Water For Africa","Narrative Film",US,"2014-08-12 00:00:00","2014-10-11 00:00:00",50,30,USD,failed
30,"Mercurial Theatre Presents: HP Lovecraft's "Call of Cthulhu"",Experimental,US,"2017-05-09 00:00:00","2017-06-08 00:00:00",5000,1651,USD,failed
31,"BLACKOUT: The Eradication Protocols","Comic Books",US,"2017-05-09 00:00:00","2017-06-18 00:00:00",5200,6419,USD,successful
32,"Men's Fashion, the next big thing.",Fashion,US,"2014-06-05 00:00:00","2014-07-05 00:00:00",800,0,USD,failed
33,"Jack Daniels Cake",Food,US,"2014-07-18 00:00:00","2014-08-17 00:00:00",3000,0,USD,failed
34,"See the time in every timezone on earth on one Orbi Clock",Design,US,"2014-02-19 00:00:00","2014-04-05 00:00:00",8900,281,USD,failed
35,"Moveable Movie Production Studios for Educators","Film & Video",DE,"2017-01-22 00:00:00","2017-02-22 00:00:00",10608.95,0,EUR,failed
36,"NASHVILLE RISES","Film & Video",US,"2011-01-27 00:00:00","2011-03-13 00:00:00",4000,4001,USD,successful
37,"Donald Trump Plush with Audio. Checklist on Back of Box.","Product Design",US,"2016-10-11 00:00:00","2016-11-08 00:00:00",35000,185,USD,failed
38,"Mind Magnet - Watch for teaching children to stay on task",Wearables,US,"2017-06-11 00:00:00","2017-07-11 00:00:00",25000,0,USD,canceled
39,"Cold War 2","Video Games",US,"2014-05-11 00:00:00","2014-06-10 00:00:00",2500,281,USD,failed
40,"Jersey Shoresical:A Frickin' Rock Opera",Theater,US,"2011-06-17 00:00:00","2011-07-17 00:00:00",8000,8086,USD,successful
41,"Fridge Feet","Product Design",US,"2013-12-07 00:00:00","2014-01-06 00:00:00",20000,1254,USD,failed
42,"Fat Boy's Nerd Emporium","Gaming Hardware",US,"2014-07-16 00:00:00","2014-08-15 00:00:00",5000,0,USD,failed
43,"Little Fears Nightmare Edition - Blessed are the Children","Tabletop Games",US,"2013-08-22 00:00:00","2013-09-21 00:00:00",1500,9071,USD,successful
44,"Lest We Forget","Comic Books",CA,"2016-05-12 00:00:00","2016-06-11 00:00:00",11627.01,82.16,CAD,failed
45,"1000 Haiku, 1000 Strangers",Poetry,US,"2010-11-20 00:00:00","2010-12-25 00:00:00",1500,5276.01,USD,successful
46,"Field Reflections: The Final Painting",Painting,US,"2012-09-12 00:00:00","2012-10-15 00:00:00",3000,4268,USD,successful
47,"The Kitchen: a space for participatory cooking & dining",Food,US,"2012-12-06 00:00:00","2013-01-15 00:00:00",40000,45026,USD,successful
48,"The Harriet Experiment",Documentary,US,"2012-01-18 00:00:00","2012-03-18 00:00:00",70000,7071,USD,failed
49,"The Modern Day Briefcase","Product Design",US,"2016-03-01 00:00:00","2016-04-16 00:00:00",40000,242014,USD,successful
50,"TOGA: The Holder | Upgrade | Keychain for EOS® Lip Balms","Product Design",US,"2016-10-05 00:00:00","2016-11-04 00:00:00",5000,912,USD,canceled
51,"Grain35: Beautiful 35mm Film Grain Scans For Your DSLR Video",Technology,US,"2012-03-21 00:00:00","2012-04-11 00:00:00",15000,26206,USD,successful
52,"FLIE Rings - Colorful Anodized Aluminum Rings for Life",Accessories,US,"2015-08-06 00:00:00","2015-09-05 00:00:00",2000,10604,USD,successful
53,""Friday Night Monkey Fights" the Mobile App!","Video Games",US,"2012-01-12 00:00:00","2012-02-11 00:00:00",30000,30,USD,failed
54,GIULIA,Shorts,US,"2012-04-05 00:00:00","2012-05-15 00:00:00",6000,6000,USD,successful
55,"Personalised full length novels for children","Children's Books",GB,"2017-05-16 00:00:00","2017-06-15 00:00:00",6384.55,40.86,GBP,failed
56,"Publish my first horror novel, make a trailer & short films",Horror,US,"2014-07-15 00:00:00","2014-08-14 00:00:00",20000,310,USD,failed
57,"1,000 Stars Festival, Documentary ",Documentary,US,"2009-09-28 00:00:00","2009-10-24 00:00:00",5000,5117,USD,successful
58,"Fittersift: Introducing Responsive Textile Technology",Apparel,US,"2014-12-15 00:00:00","2015-01-29 00:00:00",25000,978,USD,failed
59,"Jake Jude T-Shirt (Official)",Apparel,US,"2014-09-15 00:00:00","2014-09-29 00:00:00",375,0,USD,failed
60,"Chris Henry and The Hardcore Grass",Music,US,"2012-06-08 00:00:00","2012-07-08 00:00:00",10000,2470,USD,failed
61,"A wee Coffee",Drinks,GB,"2015-09-08 00:00:00","2015-10-09 00:00:00",33746.99,15.34,GBP,failed
62,"The Horde and the Harem - Full Length Album!",Pop,US,"2011-05-05 00:00:00","2011-07-04 00:00:00",5000,5475,USD,successful
63,"Letters To Me",Nonfiction,US,"2017-07-11 00:00:00","2017-08-30 00:00:00",50000,4373,USD,canceled
64,"Knight's Destiny - Dungeon RPG/MMORPG","Video Games",US,"2014-01-01 00:00:00","2014-02-15 00:00:00",4000,306,USD,failed
65,"Creatures of Habitat For Sale",Theater,US,"2010-01-01 00:00:00","2010-02-14 00:00:00",2222,2246,USD,successful
66,"Online therapist directory - Click For Therapy (Canceled)",Web,GB,"2015-09-17 00:00:00","2015-10-17 00:00:00",41590.93,0,GBP,canceled
67,"Lick My Assise!","Product Design",US,"2015-09-30 00:00:00","2015-10-30 00:00:00",50000,300,USD,failed
68,"New EP from Jon Swift",Music,US,"2012-03-03 00:00:00","2012-03-17 00:00:00",2500,2880,USD,successful
69,"Punch'em Scrunch'em Robots","Tabletop Games",US,"2015-07-04 00:00:00","2015-08-03 00:00:00",7000,1752,USD,failed
70,"WE MEAN YOU NO HARM","Narrative Film",US,"2014-10-13 00:00:00","2014-11-06 00:00:00",8000,8046,USD,successful
71,"Behind the Lens: Charlotte",Photobooks,US,"2014-04-29 00:00:00","2014-05-29 00:00:00",10000,0,USD,failed
72,"Blit - Mobile App to Screenshot Websites with Login",Apps,US,"2017-11-15 00:00:00","2017-12-27 00:00:00",5000,57,USD,failed
73,""Must Be Nice" at the Fillet of Solo Festival in Chicago",Theater,US,"2011-06-13 00:00:00","2011-07-13 00:00:00",740,870,USD,successful
74,"The Return Voyage of Christopher Mackenzie",Music,US,"2012-04-04 00:00:00","2012-04-18 00:00:00",1500,1592,USD,successful
75,NOZ,"Product Design",US,"2015-09-28 00:00:00","2015-11-27 00:00:00",25000,668,USD,failed
76,"Club Universe","Electronic Music",US,"2012-03-17 00:00:00","2012-04-16 00:00:00",10000,0,USD,failed
77,"Taft Sturgeon","Comic Books",US,"2017-07-06 00:00:00","2017-07-30 00:00:00",4000,4063,USD,successful
78,"Samuel B. Lupowitz & The Ego Band - first album release",Rock,US,"2012-04-06 00:00:00","2012-05-19 00:00:00",2000,2345,USD,successful
79,"Bringing Jamaican Patties To Your Neck Of The Wood",Restaurants,US,"2015-04-09 00:00:00","2015-06-08 00:00:00",125000,206,USD,failed
80,"THE AVENUE",Blues,US,"2015-09-29 00:00:00","2015-10-29 00:00:00",2500,2500,USD,successful
81,"Personalized Picture Slide Lamps","Product Design",US,"2015-01-09 00:00:00","2015-02-08 00:00:00",75,1,USD,failed
82,"Drone on the Farm: An Aerial Exposé",Journalism,US,"2014-06-09 00:00:00","2014-07-09 00:00:00",30000,75064.49,USD,successful
83,"Employee evaluation and performance management web app",Software,GB,"2017-08-22 00:00:00","2017-09-21 00:00:00",2035.22,67.84,GBP,failed
84,"Berghain: A Game for 2–6 Players About Getting In","Tabletop Games",SE,"2016-11-07 00:00:00","2016-12-07 00:00:00",9806.06,6720.96,SEK,suspended
85,""Deferral": A Video Installation by EL Putnam","Performance Art",US,"2011-03-15 00:00:00","2011-04-30 00:00:00",1000,5,USD,failed
86,"Help Lancaster Make Their Next Album!",Rock,US,"2014-03-07 00:00:00","2014-04-06 00:00:00",15750,2587.11,USD,failed
87,"DAME - Introvert Dame - "Bad Biti" Music Video First Single",Hip-Hop,US,"2017-11-21 00:00:00","2017-12-21 00:00:00",600,0,USD,failed
88,"Steve Shane's "Every Pretty Smile" Music Video",Pop,US,"2011-04-21 00:00:00","2011-05-21 00:00:00",2000,2251,USD,successful
89,"Carousel Love (Canceled)",Art,GB,"2014-11-05 00:00:00","2014-12-05 00:00:00",3921.45,54.9,GBP,canceled
90,"Maggie, Therapy Dog in Training's 1st Car Sticker Pre-Order!","Public Art",US,"2015-07-10 00:00:00","2015-07-19 00:00:00",500,61,USD,failed
91,"Metro760 LGBT Newspaper for the Palm Springs CA area",Publishing,"N,0"","2015-02-06 00:00:00","2015-02-28 00:00:00",7500,0,USD,undefined
92,"Ahead of the Chains",Nonfiction,US,"2017-10-18 00:00:00","2017-11-27 00:00:00",9000,9170,USD,successful
93,"Tiles Publications",Poetry,US,"2014-07-15 00:00:00","2014-08-16 00:00:00",4000,711,USD,failed
94,"Nudz: Banishing Beige as the Default Nude for Lingerie",Fashion,US,"2015-07-13 00:00:00","2015-08-19 00:00:00",30000,31376,USD,successful
95,"THE WINGCASE - The Smartest Briefcase in the World.","Product Design",DE,"2016-10-03 00:00:00","2016-11-02 00:00:00",27732.48,55619.77,EUR,successful
96,"The Yowler: a community built DIY noise synth",Sound,AU,"2016-11-30 00:00:00","2017-01-01 00:00:00",2934.7,6883.35,AUD,successful
97,"Natalie Wells Band brand new recording project!",Rock,US,"2013-05-25 00:00:00","2013-06-24 00:00:00",6750,2245,USD,failed
98,"Central Florida Music Commissioning Project",Music,US,"2016-07-06 00:00:00","2016-08-05 00:00:00",18000,1979,USD,canceled
99,"LFC & LOCO Bubble Soccer (Canceled)",Games,US,"2016-02-12 00:00:00","2016-03-14 00:00:00",50000,5816,USD,canceled
100,""My Favorite Color is Brown"","Children's Books",US,"2011-12-26 00:00:00","2012-02-24 00:00:00",5000,20,USD,failed
101,"UBER Taxi Cab Confessions",Nonfiction,US,"2017-02-18 00:00:00","2017-03-25 00:00:00",1500,9,USD,canceled
102,"Enamel Pin: Stay the Course",Accessories,CA,"2017-07-12 00:00:00","2017-08-01 00:00:00",795.42,465.32,CAD,failed
103,"Mal-Mart Mega Store - Burning Man 2010","Performance Art",US,"2010-07-28 00:00:00","2010-08-23 00:00:00",1500,1620,USD,successful
104,"Try and Review all the Microwave Recipes I Ever Find",Cookbooks,US,"2015-02-23 00:00:00","2015-03-25 00:00:00",100,0,USD,failed
105,"Gluten Free Cookies with an Old Fashioned Taste!",Food,US,"2012-09-19 00:00:00","2012-11-05 00:00:00",10000,1486,USD,failed
106,"The Demons Within",Fiction,US,"2017-10-01 00:00:00","2017-11-05 00:00:00",2200,2225,USD,successful
107,"Pro Pinball®: Revived & Remastered","Video Games",US,"2012-09-05 00:00:00","2012-10-05 00:00:00",400000,174010.09,USD,failed
108,"BlueKangaroo - Do more with your Bluetooth Location Trackers",Technology,US,"2016-04-19 00:00:00","2016-05-24 00:00:00",8000,1028,USD,failed
109,"Breaker Blocks","Tabletop Games",US,"2015-11-12 00:00:00","2015-12-12 00:00:00",8000,1643,USD,failed
110,"My Hip Hop Debut: The Yamazawa EP",Hip-Hop,US,"2016-01-20 00:00:00","2016-02-12 00:00:00",3000,4229,USD,successful
111,"Translation for my father's novel",Translations,US,"2011-04-05 00:00:00","2011-07-04 00:00:00",12000,12080,USD,successful
112,""An Adventure with Friends", a family friendly comedy","Film & Video",US,"2011-08-30 00:00:00","2011-09-29 00:00:00",12000,225,USD,failed
113,SPOUGEFEST,"World Music",US,"2016-03-26 00:00:00","2016-05-24 00:00:00",25000,50,USD,failed
114,"Become a part of Papi Churro - THE NEXT CHAPTER!","Food Trucks",NL,"2017-12-08 00:00:00","2018-01-07 00:00:00",6068.48,2230.77,EUR,live
115,Dogbed,"Product Design",US,"2016-01-08 00:00:00","2016-02-07 00:00:00",2000,30,USD,failed
116,"Gothic Line Museum - Il Museo della Linea Gotica",Art,IT,"2017-11-13 00:00:00","2018-01-12 00:00:00",121369.53,316.77,EUR,live
117,"Paul Dietrich Quintet debut album - "We Always Get There"",Jazz,US,"2013-10-31 00:00:00","2013-11-28 00:00:00",3000,3260,USD,successful
118,"A Story about an alcoholic wizard who fucks bitches.",Fiction,US,"2015-08-06 00:00:00","2015-09-05 00:00:00",500,10,USD,failed
119,"EAST Urban Salsa","Small Batch",US,"2016-04-01 00:00:00","2016-05-01 00:00:00",8000,0,USD,failed
120,"VR Homebox",Apps,US,"2015-10-01 00:00:00","2015-11-20 00:00:00",200000,170,USD,failed
121,"Colour Chess + Lure - Two games, one colourful board!","Tabletop Games",GB,"2017-03-24 00:00:00","2017-04-14 00:00:00",4472.39,4864.68,GBP,successful
122,"The Truckiest Truck",Web,US,"2017-07-02 00:00:00","2017-08-01 00:00:00",210,80,USD,failed
123,"THE CANDYMAN: He mixes it with love",Food,US,"2015-04-07 00:00:00","2015-05-17 00:00:00",20000,150,USD,failed
124,"Michael fitness You-tuber Channel",Documentary,GB,"2015-01-02 00:00:00","2015-02-01 00:00:00",3829.48,3.06,GBP,failed
125,"the Kurdi Margolis Wright Trio @ CCLC Trescott ME",Experimental,US,"2016-03-23 00:00:00","2016-04-02 00:00:00",600,20,USD,failed
126,"Clive Barker Presents: The Sickness - A Trailer with Bite",Shorts,US,"2011-06-21 00:00:00","2011-07-21 00:00:00",7500,7800,USD,successful
127,"Lost Orchards Finish Long Forgotten EP","Indie Rock",US,"2012-10-03 00:00:00","2012-12-02 00:00:00",700,734.5,USD,successful
128,"Sindicate  3D - Rol Game","Mobile Games",ES,"2015-08-27 00:00:00","2015-09-26 00:00:00",22319.93,0,EUR,failed
129,"Between the Shadow and the Soul",Dance,US,"2012-07-24 00:00:00","2012-09-10 00:00:00",1000,1000,USD,successful
130,"The Step Afrika! Experience! ",Dance,US,"2010-10-11 00:00:00","2010-11-25 00:00:00",2500,2685,USD,successful
131,"Tell Me Something",Nonfiction,US,"2013-03-07 00:00:00","2013-04-06 00:00:00",20000,26936.4,USD,successful
132,"My First Fiction Novel",Fiction,US,"2015-02-19 00:00:00","2015-04-20 00:00:00",12000,0,USD,failed
133,"One Country United (Canceled)",Apparel,US,"2016-06-24 00:00:00","2016-07-24 00:00:00",8000,0,USD,canceled
134,"Groove in the Grove",Music,US,"2015-07-09 00:00:00","2015-07-30 00:00:00",300,0,USD,failed
135,""The Vicarious Eye"Artist's Residency with a conscience","Public Art",US,"2013-11-22 00:00:00","2013-12-22 00:00:00",4303,0,USD,canceled
136,"? Infinity Edition Galaxy Cards ?","Tabletop Games",US,"2013-10-09 00:00:00","2013-10-17 00:00:00",88,4587,USD,successful
137,"Catch the Leprechaun","Mobile Games",US,"2015-03-05 00:00:00","2015-04-04 00:00:00",450,0,USD,failed
138,"COUPLE FRIENDS, a comedy short",Shorts,US,"2015-03-19 00:00:00","2015-04-18 00:00:00",5000,5001,USD,successful
139,"Insecticides made using Olive Oil & other Edible Ingredients",Farms,US,"2015-08-31 00:00:00","2015-09-30 00:00:00",8700,2046,USD,failed
140,"American retro diner",Restaurants,ES,"2015-12-10 00:00:00","2016-01-09 00:00:00",218281.04,0,EUR,failed
141,"BICYCLE DAY Lives!!!!","Film & Video",US,"2013-02-26 00:00:00","2013-03-28 00:00:00",5000,5316,USD,successful
142,"THE PRESIDENT CAPTURED: THE DOCUMENTARY",Documentary,US,"2015-07-02 00:00:00","2015-08-10 00:00:00",19995,2751,USD,failed
143,"Aki - The Best Minimalist Bifold Slim Wallet","Product Design",AU,"2015-10-06 00:00:00","2015-11-20 00:00:00",3604.64,93856.97,AUD,successful
144,"March Forth",Fiction,US,"2016-02-09 00:00:00","2016-02-24 00:00:00",1000,26,USD,failed
145,"Rediscovering authentic & stunning home cooking.",Food,US,"2016-01-28 00:00:00","2016-02-27 00:00:00",4500,1,USD,failed
146,"Invitations and Party Decorations","Graphic Design",US,"2014-07-12 00:00:00","2014-08-26 00:00:00",400,0,USD,failed
147,"Faire De Largent Mula",Apparel,US,"2015-02-09 00:00:00","2015-03-11 00:00:00",20000,0,USD,failed
148,"Super Awesome scavanger hunt (Suspended)",Games,US,"2013-01-02 00:00:00","2013-02-16 00:00:00",250,0,USD,suspended
149,"Earthly Pleasures: A Fashion Film",Shorts,GB,"2013-06-12 00:00:00","2013-07-01 00:00:00",2994.15,3048.04,GBP,successful
150,"Patrick and Cris Make A Movie (and you get a copy)","Narrative Film",US,"2010-06-04 00:00:00","2010-07-25 00:00:00",50000,5558,USD,failed
151,"Wonder Sneakers: The Truly Hands-free Sneakers","Product Design",HK,"2016-12-24 00:00:00","2017-02-02 00:00:00",73460.23,593.09,HKD,canceled
152,"The Rainbow Journal. Poetry of the Armageddon.",Poetry,US,"2012-03-03 00:00:00","2012-05-02 00:00:00",1000,0,USD,failed
153,"Playing Cards The Venture Deck RE-LAUNCH By GilaFiction","Graphic Design",US,"2015-10-06 00:00:00","2015-11-07 00:00:00",950,2512,USD,successful
154,"BUNNY RACKET - A rock 'n' roll web series for kids!",Webseries,AU,"2016-09-01 00:00:00","2016-10-01 00:00:00",37901.76,38423.29,AUD,successful
155,""I Want Some Nasty" San Antonio Spurs t-shirt",Fashion,US,"2012-05-30 00:00:00","2012-06-14 00:00:00",850,0,USD,failed
156,"For What it's Worth",Fantasy,GB,"2016-03-17 00:00:00","2016-04-11 00:00:00",1276.23,1418.04,GBP,successful
157,Postscript,Fiction,US,"2012-04-19 00:00:00","2012-05-29 00:00:00",100,25,USD,failed
158,"Support Brooklyn Youth Media Projects!",Shorts,US,"2010-11-17 00:00:00","2010-12-11 00:00:00",2000,4736,USD,successful
159,"She Inspires 365","Art Books",US,"2012-04-17 00:00:00","2012-05-22 00:00:00",10000,10538.02,USD,successful
160,"Jesus Christ Superstar-Indiana",Theater,US,"2012-04-25 00:00:00","2012-06-24 00:00:00",3200,500,USD,failed
161,"Protect or Infect","Tabletop Games",US,"2013-03-16 00:00:00","2013-04-15 00:00:00",15000,3221,USD,failed
162,"'Gone Missing' Kickstarter for Studio 301 Productions",Musical,US,"2015-02-09 00:00:00","2015-03-02 00:00:00",750,755,USD,successful
163,"M.A.D. a Web Series",Drama,US,"2017-03-06 00:00:00","2017-04-15 00:00:00",2000,6,USD,failed
164,"Editing "Blind Faith"",Fiction,US,"2014-03-13 00:00:00","2014-04-27 00:00:00",2500,100,USD,failed
165,"The Coal War – a documentary about hope, change, and one unstoppable grandmother",Documentary,US,"2010-06-01 00:00:00","2010-07-18 00:00:00",13125,5465.02,USD,failed
166,"TRI Magazine",Publishing,IE,"2015-01-22 00:00:00","2015-02-21 00:00:00",11240,563.12,EUR,failed
167,"Mobile/Tablet In Game Advertising & Interactive Games Studio","Mobile Games",US,"2014-05-15 00:00:00","2014-06-14 00:00:00",89000,0,USD,failed
168,"The Adventures of HarleyQuinn","Children's Books",GB,"2013-02-19 00:00:00","2013-03-21 00:00:00",910.98,921.61,GBP,successful
169,"Through The Rough (Canceled)",Web,US,"2015-05-27 00:00:00","2015-06-26 00:00:00",20000,0,USD,canceled
170,"COOPER'S PROMISE, a novel",Fiction,US,"2011-11-16 00:00:00","2012-01-15 00:00:00",1000,2556,USD,successful
171,"2031 Film","Science Fiction",GB,"2014-10-30 00:00:00","2014-11-17 00:00:00",548.88,619.45,GBP,successful
172,"Sean Sullivan Photography - The Thrasher years - book",Photography,US,"2014-01-03 00:00:00","2014-02-02 00:00:00",15000,443.25,USD,failed
173,"My Alibi Clothing~ Bloomers & Beyond",Fashion,US,"2012-05-09 00:00:00","2012-06-09 00:00:00",25000,25815,USD,successful
174,"Escultura Venezolana En Nieve/ Venezuelan Snow Sculpture",Sculpture,CA,"2016-11-21 00:00:00","2016-12-21 00:00:00",3495.63,42.92,CAD,failed
175,"Kegged homebrew for all!",DIY,US,"2014-08-08 00:00:00","2014-09-04 00:00:00",440,586,USD,successful
176,"Robotech Take Over",Fiction,US,"2014-08-01 00:00:00","2014-08-31 00:00:00",100000000,3577,USD,failed
177,"Finding our Spirit (Canceled)",Photography,US,"2015-01-28 00:00:00","2015-02-27 00:00:00",15000,0,USD,canceled
178,"Bethany Barnard",Music,US,"2016-09-26 00:00:00","2016-10-26 00:00:00",20000,25201,USD,successful
179,"What Might Have Been",Fiction,US,"2012-06-06 00:00:00","2012-06-27 00:00:00",2100,5,USD,failed
180,"Purple Heart Acres Challenge Coin Fundraiser","Product Design",US,"2015-08-28 00:00:00","2015-09-12 00:00:00",1500,2295,USD,successful
181,"Simple Work Attendance Sheet (S.work.a.S.)",Software,IT,"2015-10-12 00:00:00","2015-11-06 00:00:00",1412.32,17.38,EUR,failed
182,"Finally For Ever - Eric Fritts Debut Album",Music,US,"2015-03-02 00:00:00","2015-03-31 00:00:00",10000,11722,USD,successful
183,"the GLIDEARM","Camera Equipment",US,"2015-12-08 00:00:00","2016-01-20 00:00:00",25000,35987,USD,successful
184,Risenfall,"Graphic Novels",IT,"2015-09-06 00:00:00","2015-10-12 00:00:00",4316.81,6300.27,EUR,successful
185,"Relics and Cycledelics",Art,US,"2014-10-07 00:00:00","2014-11-01 00:00:00",1200,489,USD,failed
186,"The Background of Anne",Nonfiction,US,"2015-06-24 00:00:00","2015-07-01 00:00:00",10000,0,USD,failed
187,"Democracy and Freedom for China","Mixed Media",CA,"2014-12-03 00:00:00","2015-02-01 00:00:00",8035.36,8.04,CAD,failed
188,"Travel Thru History - Educational Television Series","Film & Video",US,"2012-03-10 00:00:00","2012-03-31 00:00:00",5000,5226,USD,successful
189,"Wooden Jigsaw Puzzles by Hartwig Braun",Puzzles,GB,"2014-10-13 00:00:00","2014-11-12 00:00:00",15654.6,2044.49,GBP,failed
190,"Experiment Z: Multiplayer Zombie Survival on Mobile","Mobile Games",CA,"2015-10-11 00:00:00","2015-11-10 00:00:00",37579.86,22.55,CAD,canceled
191,"Las Escrituras Satánicas by Peter H. Gilmore",Nonfiction,US,"2012-04-30 00:00:00","2012-06-10 00:00:00",9000,10694.67,USD,successful
192,"Help me cook a £10,000 curry","Small Batch",GB,"2015-03-30 00:00:00","2015-04-04 00:00:00",14591.3,1.46,GBP,failed
193,"Rosetta: A Lua hardware platform","DIY Electronics",US,"2015-06-22 00:00:00","2015-07-22 00:00:00",100000,801,USD,failed
194,"Mourning Star's 1st 4 albums",Music,US,"2014-07-22 00:00:00","2014-08-21 00:00:00",14000,0,USD,failed
195,"Queen City Hornets T-Shirt",Fashion,US,"2012-07-29 00:00:00","2012-08-22 00:00:00",2500,1075,USD,failed
196,Mistakes,"Film & Video",US,"2016-08-31 00:00:00","2016-09-24 00:00:00",1000,55,USD,failed
197,"The Evon Enamel Pin Preorder!",Accessories,US,"2017-07-14 00:00:00","2017-08-13 00:00:00",770,236,USD,failed
198,"The Conversation",Shorts,US,"2013-11-21 00:00:00","2014-01-16 00:00:00",5000,1310,USD,failed
199,"Ryan Snook's Thesis Film "META"",Drama,CA,"2017-10-13 00:00:00","2017-11-07 00:00:00",197.32,285.71,CAD,successful
200,"The End War",Documentary,US,"2013-01-12 00:00:00","2013-01-23 00:00:00",500,66,USD,failed
201,"#ClearBackstop (Canceled)","Product Design",US,"2015-04-06 00:00:00","2015-05-03 00:00:00",27494,0,USD,canceled
202,"Making Bubbles","Narrative Film",GB,"2014-06-13 00:00:00","2014-07-28 00:00:00",1261.93,1406.1,GBP,successful
203,"Air Guitar Move for iPhone","Video Games",US,"2011-06-11 00:00:00","2011-07-11 00:00:00",25000,31776,USD,successful
204,"Masters of Blöödirön (Canceled)","Tabletop Games",US,"2015-06-03 00:00:00","2015-06-24 00:00:00",4600,270,USD,canceled
205,"CAMP - The Center for Advanced Media Production","Film & Video",US,"2014-05-17 00:00:00","2014-06-16 00:00:00",23000,81,USD,failed
206,"Twelve Months of Healing, the Veil of Womanhood:",Art,US,"2013-03-25 00:00:00","2013-04-24 00:00:00",20000,345,USD,failed
207,"CristaLight: Offer a piece of jewelry to your home.","Product Design",BE,"2017-10-04 00:00:00","2017-11-03 00:00:00",23314.1,638.81,EUR,canceled
208,"F(r)aming Reflections","Mixed Media",US,"2011-08-22 00:00:00","2011-09-22 00:00:00",650,740,USD,successful
209,"The North Pole: A Comedic Web Series for The People",Webseries,US,"2017-01-30 00:00:00","2017-03-01 00:00:00",25000,25648,USD,successful
210,"The Free Art Project goes to Berlin",Art,US,"2013-06-04 00:00:00","2013-07-02 00:00:00",1500,1681,USD,successful
