ID,name,sub_category,country_name,launched,deadline,goal,pledged,currency,backers,outcome
2376,"Seven Seas Master Collection Playing Cards (relaunch)","Playing Cards",US,"2015-08-01 00:00:00","2015-08-29 00:00:00",30000,60470,USD,827,successful
9607,"BRuT by Uusi: A Modernist Tarot and Playing Card Deck","Playing Cards",US,"2015-04-18 00:00:00","2015-05-16 00:00:00",30000,59870,USD,1100,successful
14772,"Pandante (reboot)","Tabletop Games",US,"2013-11-20 00:00:00","2013-12-20 00:00:00",30000,59763.81,USD,765,successful
8245,"Un-Renaissance : un-dead miniatures from Renaissance","Tabletop Games",IT,"2016-01-24 00:00:00","2016-02-23 00:00:00",3301.78,57026.77,EUR,528,successful
10859,"Darkrock Ventures - Asteroid Mining in Deep Space Board Game","Tabletop Games",US,"2015-07-14 00:00:00","2015-08-12 00:00:00",25000,56624,USD,963,successful
1810,"JadedAid - a card game to save humanitarians","Playing Cards",US,"2015-09-22 00:00:00","2015-10-23 00:00:00",12000,51182,USD,1625,successful
9824,"Metal Beards - Tabletop Dwarf Army","Tabletop Games",GB,"2013-12-17 00:00:00","2014-01-19 00:00:00",3301.64,50912.9,GBP,265,successful
2757,"TOTAL EXTINCTION - Battle for Karnak","Tabletop Games",GB,"2013-10-22 00:00:00","2013-12-06 00:00:00",49034.83,50772.3,GBP,287,successful
5095,"Lift Off! - Get me off this Planet","Tabletop Games",US,"2014-07-30 00:00:00","2014-08-28 00:00:00",35000,50462,USD,1014,successful
7679,"Labyrinths: Customized Modular Dungeon Terrain","Tabletop Games",CA,"2013-11-20 00:00:00","2013-12-20 00:00:00",2338.2,49264.87,CAD,184,successful
6879,"Shadowfist: Combat in Kowloon Card Game","Tabletop Games",US,"2012-08-01 00:00:00","2012-09-01 00:00:00",20000,48168,USD,320,successful
619,"Cornish Smuggler:","Tabletop Games",GB,"2013-05-23 00:00:00","2013-07-07 00:00:00",21151.87,46437.42,GBP,652,successful
1968,"War Titans: Invaders Must Die!","Tabletop Games",IE,"2017-09-12 00:00:00","2017-10-12 00:00:00",64955,46148.76,EUR,312,failed
3403,"Epic Resort - Enjoy Your Slaycation","Tabletop Games",US,"2014-03-11 00:00:00","2014-04-07 00:00:00",20000,45450.13,USD,903,successful
1520,"Villains and Vigilantes™ 3.0: The Mighty Protectors™ RPG","Tabletop Games",US,"2016-08-20 00:00:00","2016-09-19 00:00:00",18000,45198.5,USD,879,successful
10392,"Clash of the Battle Goats","Tabletop Games",US,"2016-04-12 00:00:00","2016-05-11 00:00:00",10000,45159,USD,1105,successful
857,Farlight,"Tabletop Games",US,"2017-03-01 00:00:00","2017-04-01 00:00:00",15000,44873,USD,1433,successful
10582,"The Shadowlands Campaign Setting Guidebook for Pathfinder","Tabletop Games",US,"2013-03-21 00:00:00","2013-05-04 00:00:00",5500,44183.99,USD,469,successful
6509,"Heroes Wanted: Elements of Danger","Tabletop Games",US,"2017-08-01 00:00:00","2017-08-17 00:00:00",10000,42468,USD,965,successful
9804,"SIGMATA: This Signal Kills Fascists","Tabletop Games",US,"2017-11-29 00:00:00","2017-12-29 00:00:00",9000,40437,USD,854,successful
2990,"Aradia Miniatures - The Divine Comedy: Dante's Inferno","Tabletop Games",CH,"2017-05-05 00:00:00","2017-05-25 00:00:00",5141.44,40375.74,CHF,274,successful
5558,"The Ruins Of Glendale Village - Tabletop Gaming Terrain $25!","Tabletop Games",US,"2017-10-19 00:00:00","2017-11-22 00:00:00",5000,40025,USD,442,successful
